Standard AnaEE;Categorie(s) AnaEE;Contexte(s);prefix Entité si autre que anaee-france;Entité;prefix Caractéristique si autre que anaee-france;Caractéristique;Protocol;Qualificatifs (flexible);prefix Unité si autre que anaee-france;nom de l'unité (display name);nom varaiable (fr) dans bd;nom (fr) type de donnée dans la bd
:AirCarbonDioxideMolarFraction;:Meteorology , :CarbonCycle;:Atmosphere , :Air;;:CarbonDioxyde;;:MolarFraction;;:Half-HourlyAverage;;:MicromolePerMole;CO2;Flux tours
:AirWaterVapourMolarFraction;:Meteorology , :WaterCycle;:Atmosphere , :Air;;:Water;;:MolarFraction;;:Half-HourlyAverage;;:MillimolePerMole;H2O;Flux tours
:AtmosphericAirStabilityParameter;:Meteorology , :SurfaceEnergyBalance;:Atmosphere;;:Air;;:StabilityParameter;;:Half-HourlyAverage;;:Unitless;ZL;Flux tours
:NetCarbonDioxideFluxDensityAboveTheEcosystem;:SurfaceFlux , :CarbonCycle;:TopOfEcosystem;;:CarbonDioxyde;;:MassFluxDensity;;:Half-HourlyAverage;;:MicromolePerMeterSquaredPerSecond;Fc;Flux tours
:NetCarbonDioxideFluxDensityAboveTheEcosystem;:SurfaceFlux , :CarbonCycle;:TopOfEcosystem;;:CarbonDioxyde;;:MolarFluxDensity;:Gapfilled;:Half-HourlyAverage;;:MicromolePerMeterSquaredPerSecond;Fc gf;Flux tours
:SensibleHeatEnergyFluxDensity;:SurfaceFlux , :SurfaceEnergyBalance;:TopOfEcosystem;;:SensibleHeat;;:EnergyFluxDensity;;:Half-HourlyAverage;;oboe-standards:WattPerMeterSquared;H;Flux tours
:LatentHeatEnergyFluxDensity;:SurfaceFlux , :SurfaceEnergyBalance;:TopOfEcosystem;;:LatentHeat;;:EnergyFluxDensity;;:Half-HourlyAverage;;oboe-standards:WattPerMeterSquared;LE;Flux tours
:AirMomentumFluxDensity;:SurfaceFlux , :AtmosphericConvection;:Atmosphere , :Air;;:Momentum;;:MomentumFluxDensity;;:Half-HourlyAverage;;:KilogramPerMeterPerSecondSquared;t;Flux tours
:WindFrictionVelocity;:Meteorology , :AtmosphericConvection;:Atmosphere , :Air;;:Wind;;:FrictionVelocity;;:Half-HourlyAverage;oboe-standards;oboe-standards:MeterPerSecond;u*;Flux tours
:StandTranspirationFlux;:SurfaceFlux , :WaterCycle;:Stand;;:Transpiration;;:VolumetricFlux;;:Half-HourlyCumulative;;:MilliliterPerMeterSquared;TR;Flux tours
:BiomassCanopyHeatStorageFluxDensity;:SurfaceFlux , :SurfaceEnergyBalance;:VegetationCover , :Biomass;;:HeatStorage;;:EnergyFluxDensity;;:Half-HourlyAverage;;oboe-standards:WattPerMeterSquared;Sb;Flux tours
